label;top_2_pxcount;top2_fruitcount;top2_maxfruit;top2_minfruit;left2_pxcount;left2_fruitcount;left2_maxfruit;left2_minfruit;right2_pxcount;right2_fruitcount;right2_maxfruit;right2_minfruit
15;29311687;14;52774;9792;34085388;12;70210;261;29844076;11;83546;134
15;33278893;14;56845;11576;35906419;11;98503;2583;29651971;11;49324;237
15;29839428;14;47131;14464;35779015;7;116476;15194;31303170;8;85005;22086
15;30437132;14;43898;10446;33058850;13;65207;0;30862964;10;107451;7558
15;28216564;15;37356;9525;26489259;10;81624;1225;29522339;13;83768;0
15;31923161;14;59804;9296;36026588;11;74575;1109;31868690;10;66013;9467
15;26615075;15;44709;2772;33593222;8;92248;2456;24507652;10;50933;2035
15;29584493;14;57048;11933;28318154;8;64220;985;33908558;11;55725;25
15;31130566;14;48813;12787;33305489;8;111174;8436;33072695;8;60597;15577
15;29801115;16;43723;0;29006277;10;69037;251;31248042;13;54203;475
15;30345363;14;56182;11409;30940248;9;79238;0;29334458;14;45187;73
15;31672398;15;43623;9229;34863536;11;77416;1201;31167992;10;83974;193
15;29195437;14;45072;11683;35971815;11;78972;487;32429434;11;89375;1570
15;29346054;14;43415;11611;31042954;17;80028;0;25866415;13;63677;0
15;27561791;15;49589;134;29907949;12;46030;0;25643850;9;60106;25
15;28769479;14;57976;43;32879743;10;91108;2;29759760;12;60368;0
15;33636060;15;45395;13226;38065954;9;105433;3466;29774498;11;42305;10
15;30881036;14;51416;13835;33216116;11;69399;31;32018175;12;77074;10
15;30932766;15;41110;10680;35443934;8;100110;9522;30899412;16;68238;0
15;27857207;15;43138;8696;33104008;12;76692;13;27138090;13;58368;77
15;27888281;15;42516;6246;29653469;12;75462;0;27588652;15;50872;2
15;29169437;15;60062;8;35968608;16;70615;4;28610648;9;65565;21
15;30000648;14;45897;10749;37414194;5;155056;32099;32127647;14;71768;0
15;27325125;15;43020;6077;30420243;11;85168;1521;28522370;12;59585;0
15;27899383;11;72381;12226;33946496;11;66502;4311;34898218;12;56836;4
15;29986699;14;47178;7866;34465609;7;117517;18176;31202692;13;97930;234
15;31898648;15;53329;5;34452992;10;80879;15;32866449;11;47816;8772
15;27283219;17;40044;11;27725130;12;42158;1598;28745012;7;80307;594
15;31314464;15;37580;13609;32078386;9;66395;72;31195406;11;42290;32
15;27830687;15;43308;591;31312839;9;85391;6891;26167084;10;58028;1254
15;29175655;13;56808;11256;35730183;12;92809;3;28762345;11;66648;4743
15;29376678;15;40356;12340;31769990;12;78241;3824;25818587;10;50624;85
15;29324206;14;48677;9524;34462684;13;73481;0;32856944;14;89649;0
15;27324332;14;49474;11179;26890023;10;49790;5298;28916279;13;68119;0
15;28845449;11;52874;16867;35499714;12;64543;730;31479721;11;58100;0
15;27560439;15;49061;11229;30348698;12;50256;12;25314544;10;56434;0
15;28979080;13;57467;296;34302241;12;95896;760;28972270;8;73223;6033
15;30344925;16;55997;0;38568345;8;157869;11891;32544611;9;121848;2614
15;30175668;15;38627;14694;33353881;11;79910;99;26530143;14;44158;0
16;32996625;14;69719;5581;31545776;8;61338;6880;41248071;14;73077;1194
16;31045062;16;44049;18;34621717;11;86968;0;31623520;10;87751;1701
16;31514227;16;37458;10;35213518;12;61164;37;33200720;11;64572;1803
16;29869483;16;39499;10406;29425825;14;59842;731;31677376;10;60685;7903
16;29026905;16;45751;6069;30186841;16;48886;0;28631486;16;63547;0
16;30744624;16;38564;10513;34792390;8;109304;3119;26364191;17;44359;0
16;30120284;15;47223;12650;34931584;10;199277;123;29545723;8;78358;8323
16;29760073;16;48245;0;36706675;12;67797;401;31850399;18;93553;0
16;29362370;16;36992;7656;32789195;16;68928;1;28998374;9;92856;2770
16;30386786;14;46585;12060;37812117;12;91028;0;29811928;9;85673;5529
16;31290166;17;68065;335;33961117;8;87943;2312;35510153;10;110919;32
16;30210542;16;53380;1291;29763078;11;84947;0;31112655;11;85884;1961
16;27975643;16;43562;883;41316141;10;110055;5950;26121126;8;71899;3504
16;29286736;16;48835;183;35940975;9;144243;244;28833675;13;94473;266
16;29715682;14;44538;10631;34212614;9;84566;1017;32963131;13;88390;429
16;30876717;18;41038;2;38019170;12;71561;33;31670068;13;59555;52
16;30827805;16;44371;4258;33928964;11;84556;1;32333106;10;94127;0
16;31675434;16;78494;108;37237450;11;122064;177;33526406;12;104451;9
16;33735238;18;41748;0;38395784;13;68791;0;31968500;11;99556;1842
16;28276961;16;48890;3304;30242342;12;53450;302;28646087;13;60486;0
16;31930000;15;50962;80;38715004;10;103307;1;33430079;13;52476;1465
16;28550527;16;36944;7576;30000674;12;87865;2;27300680;13;61097;858
16;31832514;16;36854;10075;35006389;12;150068;0;29166405;11;103395;0
16;28469533;14;52937;2222;31933095;17;63328;12;31871127;12;66937;294
16;28968475;15;40404;9722;30551736;13;59397;0;32619152;12;75968;434
