label;top_2_pxcount;top2_fruitcount;top2_maxfruit;top2_minfruit
22;35802412;16;59855;2523
22;38863024;26;42323;4
22;35166715;16;50082;47
22;37591203;22;44561;6
22;34460295;27;72882;52
22;33820292;18;88772;102
23;37230943;15;65846;33
23;34581008;22;54688;15
23;38619843;23;55605;4
23;38522674;27;51060;0
23;37846377;28;57630;0
23;35410027;21;96442;15
23;39689886;22;54870;0
23;38736179;22;54405;73
23;37719876;26;62290;32
23;38544841;20;53017;19
23;35117920;23;102682;5
23;37096656;26;38152;25
23;33915731;21;112610;27
23;35484210;19;96034;2
23;36530303;23;51987;25
23;33404127;17;50726;91
23;35233257;19;60731;0
23;36437611;23;32970;32
23;34798333;20;51182;52
23;35700187;18;82369;21
23;34468738;21;62996;0
23;33868094;18;40457;0
23;36036118;21;71014;0
23;38797776;19;136027;74
23;34527557;21;49388;6
23;37151228;24;84516;0
23;35479670;21;64672;0
23;37585348;19;57308;24
23;35040334;21;53206;3
23;36619879;24;44776;2
23;34927853;22;69506;2
23;39008389;26;59072;16
23;36045668;24;82370;5
23;35953832;19;44168;14
23;36647309;20;74698;4
23;37833167;18;59814;921
23;37235376;19;67186;67
23;34789147;20;47425;69
23;36339158;17;55307;2
23;34308156;16;66955;2
24;35851738;18;56554;5
24;36222724;21;80462;8
24;38456521;24;44192;33
24;34988420;21;49168;136
24;35265589;18;58298;128
24;36918063;18;46183;205
24;36728717;20;127864;4
24;36541281;22;54655;17
24;37563000;19;80510;0
24;40799663;23;48271;22
24;35763043;24;57452;19
24;37839512;21;73779;12
24;37325633;25;72612;2
24;38655769;21;94963;33
24;37258380;28;46438;16
24;37074497;24;68724;42
24;37890988;20;100299;92
24;36405358;18;71655;101
24;37616189;16;105839;0
24;37639278;22;108678;10
24;35054383;22;57085;17
24;37889297;21;51170;19
24;37297395;19;59937;9
24;36297914;17;46442;103
24;38353844;18;42869;12
24;34370497;22;46369;2
24;34122625;26;45562;0
24;36753660;21;52362;0
24;38247156;21;58780;0
24;38183828;14;87556;2
24;39176267;23;67246;12
